"","gene","EC_number","COG","product","MAG"
"1368","crtC","4.2.1.131","","Acyclic carotenoid 1,2-hydratase","Limnohabitans sp. 1"
"1369","pucBB","","","Light-harvesting protein B-800-850 beta chain B","Limnohabitans sp. 1"
"1370","hyuA","5.1.99.5","","Hydantoin racemase","Limnohabitans sp. 1"
"1371","flr","","","Flavoredoxin","Limnohabitans sp. 1"
"1372","bluF","","","Blue light- and temperature-regulated antirepressor BluF","Limnohabitans sp. 1"
"1373","crtI","1.3.99.28","COG1233","Phytoene desaturase (neurosporene-forming)","Limnohabitans sp. 1"
"1374","puhA","","","Reaction center protein H chain","Limnohabitans sp. 1"
"1375","tfoX","","COG3070","DNA transformation protein TfoX","Limnohabitans sp. 1"
"1376","yhgF","","COG2183","Protein YhgF","Limnohabitans sp. 1"
"1377","sadH","1.-.-.-","","Putative oxidoreductase SadH","Limnohabitans sp. 1"
"1378","yfmJ","1.-.-.-","COG2130","Putative NADP-dependent oxidoreductase YfmJ","Limnohabitans sp. 1"
"1379","fadB","","","Fatty acid oxidation complex subunit alpha","Limnohabitans sp. 1"
"1380","pdhD","1.8.1.4","","Dihydrolipoyl dehydrogenase","Limnohabitans sp. 1"
"1381","iclR","","COG1414","Transcriptional repressor IclR","Limnohabitans sp. 1"
"1382","pgsA","2.7.8.5","COG0558","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","Limnohabitans sp. 1"
"1383","dmlA","1.1.1.83","COG0473","D-malate dehydrogenase [decarboxylating]","Limnohabitans sp. 1"
"1384","hupB","","COG0776","DNA-binding protein HU-beta","Limnohabitans sp. 1"
"1385","ppiD","5.2.1.8","COG0760","Peptidyl-prolyl cis-trans isomerase D","Limnohabitans sp. 1"
"1386","rph","2.7.7.56","COG0689","Ribonuclease PH","Limnohabitans sp. 1"
"1387","rdgB","3.6.1.66","COG0127","dITP/XTP pyrophosphatase","Limnohabitans sp. 1"
"1388","cpg2","3.4.17.11","","Carboxypeptidase G2","Limnohabitans sp. 1"
"1389","iolG","1.1.1.18","","Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase","Limnohabitans sp. 1"
"1390","cysT","","COG0555","Sulfate transport system permease protein CysT","Limnohabitans sp. 1"
"1391","icmF","","COG1703","Fused isobutyryl-CoA mutase","Limnohabitans sp. 1"
"1392","loiP","3.4.24.-","COG0501","Metalloprotease LoiP","Limnohabitans sp. 1"
"1393","yjgN","","COG4269","Inner membrane protein YjgN","Limnohabitans sp. 1"
"1394","amn","3.2.2.4","COG0775","AMP nucleosidase","Limnohabitans sp. 1"
"1395","dagK","2.7.1.107","","Diacylglycerol kinase","Limnohabitans sp. 1"
"1396","gshB","6.3.2.3","COG0189","Glutathione synthetase","Limnohabitans sp. 1"
"1397","glcB","2.3.3.9","COG2225","Malate synthase G","Limnohabitans sp. 1"
"1398","estA","3.1.1.3","","Lipase EstA","Limnohabitans sp. 1"
"1399","bolA","","COG0271","DNA-binding transcriptional regulator BolA","Limnohabitans sp. 1"
"1400","yciB","","COG2917","putative intracellular septation protein A","Limnohabitans sp. 1"
"1401","yceD","","COG1399","Large ribosomal RNA subunit accumulation protein YceD","Limnohabitans sp. 1"
"1402","rpmF","","COG0333","50S ribosomal protein L32","Limnohabitans sp. 1"
"1403","plsX","2.3.1.-","COG0416","Phosphate acyltransferase","Limnohabitans sp. 1"
"1404","fabD","2.3.1.39","COG0331","Malonyl CoA-acyl carrier protein transacylase","Limnohabitans sp. 1"
"1405","acpP","","COG0236","Acyl carrier protein","Limnohabitans sp. 1"
"1406","fabF","2.3.1.179","COG0304","3-oxoacyl-[acyl-carrier-protein] synthase 2","Limnohabitans sp. 1"
"1407","htrA","","","Putative serine protease HtrA","Limnohabitans sp. 1"
"1408","namA","1.6.99.1","COG1902","NADPH dehydrogenase","Limnohabitans sp. 1"
"1409","ycfH","3.1.-.-","COG0084","putative metal-dependent hydrolase YcfH","Limnohabitans sp. 1"
"1410","holB","2.7.7.7","COG0470","DNA polymerase III subunit delta'","Limnohabitans sp. 1"
"1411","tmk","2.7.4.9","","Thymidylate kinase","Limnohabitans sp. 1"
"1412","mltG","4.2.2.-","COG1559","Endolytic murein transglycosylase","Limnohabitans sp. 1"
"1413","ygfZ","","COG0354","tRNA-modifying protein YgfZ","Limnohabitans sp. 1"
"1414","oppA","","COG4166","Periplasmic oligopeptide-binding protein","Limnohabitans sp. 1"
"1415","livK","","COG0683","Leucine-specific-binding protein","Limnohabitans sp. 1"
"1416","gpgP","3.1.3.85","COG0406","Glucosyl-3-phosphoglycerate phosphatase","Limnohabitans sp. 1"
"1417","bbsG","1.3.8.3","","(R)-benzylsuccinyl-CoA dehydrogenase","Limnohabitans sp. 1"
"1418","gntK","2.7.1.12","COG3265","Thermoresistant gluconokinase","Limnohabitans sp. 1"
"1419","idnD","1.1.1.264","COG1063","L-idonate 5-dehydrogenase (NAD(P)(+))","Limnohabitans sp. 1"
"1420","groS","","","10 kDa chaperonin","Limnohabitans sp. 1"
"1421","lpxL","2.3.1.241","COG1560","Lipid A biosynthesis lauroyltransferase","Limnohabitans sp. 1"
"1422","lpxP","2.3.1.242","COG1560","Lipid A biosynthesis palmitoleoyltransferase","Limnohabitans sp. 1"
"1423","ephA","3.3.2.10","","Epoxide hydrolase A","Limnohabitans sp. 1"
"1424","engB","","","putative GTP-binding protein EngB","Limnohabitans sp. 1"
"1425","aroB","4.2.3.4","COG0337","3-dehydroquinate synthase","Limnohabitans sp. 1"
"1426","dgt","","COG0232","Deoxyguanosinetriphosphate triphosphohydrolase-like protein","Limnohabitans sp. 1"
"1427","yhcG","3.1.-.-","COG4804","Putative nuclease YhcG","Limnohabitans sp. 1"
"1428","rdmE","1.14.13.180","","Aklavinone 12-hydroxylase RdmE","Limnohabitans sp. 1"
"1429","sgaA","2.6.1.45","COG0075","Serine--glyoxylate aminotransferase","Limnohabitans sp. 1"
"1430","dehH1","3.8.1.3","","Haloacetate dehalogenase H-1","Limnohabitans sp. 1"
"1431","zntR","","COG0789","HTH-type transcriptional regulator ZntR","Limnohabitans sp. 1"
"1432","cadA","3.6.3.3","","Cadmium-transporting ATPase","Limnohabitans sp. 1"
"1433","czcA","","","Cobalt-zinc-cadmium resistance protein CzcA","Limnohabitans sp. 1"
"1434","xpsD","","COG1450","Type II secretion system protein D","Limnohabitans sp. 1"
"1435","cbf2","5.2.1.8","COG0760","Putative peptidyl-prolyl cis-trans isomerase Cbf2","Limnohabitans sp. 1"
"1436","oatA","2.3.1.-","","O-acetyltransferase OatA","Limnohabitans sp. 1"
"1437","hslR","","COG1188","Heat shock protein 15","Limnohabitans sp. 1"
"1438","ascD","1.17.1.-","","CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase","Limnohabitans sp. 1"
"1439","udg","3.2.2.27","COG1573","Type-4 uracil-DNA glycosylase","Limnohabitans sp. 1"
"1440","rimI","2.3.1.128","COG0456","Ribosomal-protein-alanine acetyltransferase","Limnohabitans sp. 1"
"1441","tsaB","","COG1214","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","Limnohabitans sp. 1"
"1442","dacB","3.4.16.4","COG2027","D-alanyl-D-alanine carboxypeptidase DacB","Limnohabitans sp. 1"
"1443","ywlC","2.7.7.87","COG0009","Threonylcarbamoyl-AMP synthase","Limnohabitans sp. 1"
"1444","purK","6.3.4.18","","N5-carboxyaminoimidazole ribonucleotide synthase","Limnohabitans sp. 1"
"1445","purE","5.4.99.18","COG0041","N5-carboxyaminoimidazole ribonucleotide mutase","Limnohabitans sp. 1"
"1446","purC","6.3.2.6","COG0152","Phosphoribosylaminoimidazole-succinocarboxamide synthase","Limnohabitans sp. 1"
"1447","cbbA","4.1.2.13","","Fructose-bisphosphate aldolase","Limnohabitans sp. 1"
"1448","pykA","2.7.1.40","COG0469","Pyruvate kinase II","Limnohabitans sp. 1"
"1449","ttrR","","COG4566","Tetrathionate response regulatory protein TtrR","Limnohabitans sp. 1"
"1450","lpxH","3.6.1.54","COG2908","UDP-2,3-diacylglucosamine hydrolase","Limnohabitans sp. 1"
"1451","ppiB","5.2.1.8","COG0652","Peptidyl-prolyl cis-trans isomerase B","Limnohabitans sp. 1"
"1452","cysS","6.1.1.16","COG0215","Cysteine--tRNA ligase","Limnohabitans sp. 1"
"1453","alkA","3.2.2.21","COG0122","DNA-3-methyladenine glycosylase","Limnohabitans sp. 1"
"1454","accA","6.4.1.2","COG0825","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","Limnohabitans sp. 1"
"1455","tilS","6.3.4.19","COG0037","tRNA(Ile)-lysidine synthase","Limnohabitans sp. 1"
"1456","ccsB","","","Cytochrome c biogenesis protein CcsB","Limnohabitans sp. 1"
"1457","parD","","","Antitoxin ParD","Limnohabitans sp. 1"
"1458","yieH","3.1.3.-","COG0637","6-phosphogluconate phosphatase","Limnohabitans sp. 1"
"1459","cetB","5.1.3.33","","2-epi-5-epi-valiolone epimerase","Limnohabitans sp. 1"
"1460","trkH","","COG0168","Trk system potassium uptake protein TrkH","Limnohabitans sp. 1"
"1461","trkA","","COG0569","Trk system potassium uptake protein TrkA","Limnohabitans sp. 1"
"1462","can","4.2.1.1","COG0288","Carbonic anhydrase 2","Limnohabitans sp. 1"
"1463","menI","3.1.2.28","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","Limnohabitans sp. 1"
"1464","cueR","","COG0789","HTH-type transcriptional regulator CueR","Limnohabitans sp. 1"
"1465","glyS","6.1.1.14","COG0751","Glycine--tRNA ligase beta subunit","Limnohabitans sp. 1"
"1466","hflK","","COG0330","Modulator of FtsH protease HflK","Limnohabitans sp. 1"
"1467","hflX","","COG2262","GTPase HflX","Limnohabitans sp. 1"
"1468","hfq","","COG1923","RNA-binding protein Hfq","Limnohabitans sp. 1"
"1469","der","","COG1160","GTPase Der","Limnohabitans sp. 1"
"1470","bamB","","COG1520","Outer membrane protein assembly factor BamB","Limnohabitans sp. 1"
"1471","hisS","6.1.1.21","","Histidine--tRNA ligase","Limnohabitans sp. 1"
"1472","ispG","1.17.7.3","COG0821","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","Limnohabitans sp. 1"
"1473","rodZ","","COG1426","Cytoskeleton protein RodZ","Limnohabitans sp. 1"
"1474","ndk","2.7.4.6","","Nucleoside diphosphate kinase","Limnohabitans sp. 1"
"1475","scpB","","COG1386","Segregation and condensation protein B ","Limnohabitans sp. 1"
"1476","rluD","5.4.99.23","COG0564","Ribosomal large subunit pseudouridine synthase D","Limnohabitans sp. 1"
"1477","bcsA","2.4.1.12","COG1215","Cellulose synthase catalytic subunit [UDP-forming]","Limnohabitans sp. 1"
"1478","pdeR","3.1.4.52","COG2199","Cyclic di-GMP phosphodiesterase PdeR","Limnohabitans sp. 1"
"1479","menG","2.1.1.163","COG2226","Demethylmenaquinone methyltransferase","Limnohabitans sp. 1"
"1480","paaZ","","COG2030","Bifunctional protein PaaZ","Limnohabitans sp. 1"
"1481","mrpG","","COG1320","Na(+)/H(+) antiporter subunit G","Limnohabitans sp. 1"
"1482","mrpF","","COG2212","Na(+)/H(+) antiporter subunit F","Limnohabitans sp. 1"
"1483","mrpE","","COG1863","Na(+)/H(+) antiporter subunit E","Limnohabitans sp. 1"
"1484","mrpD","","COG0651","Na(+)/H(+) antiporter subunit D","Limnohabitans sp. 1"
"1485","mnhC1","","COG1006","Na(+)/H(+) antiporter subunit C1","Limnohabitans sp. 1"
"1486","mrpA","","COG1009","Na(+)/H(+) antiporter subunit A","Limnohabitans sp. 1"
"1487","nagX","1.14.13.24","COG0654","3-hydroxybenzoate 6-hydroxylase","Limnohabitans sp. 1"
"1488","nagI","1.13.11.4","","Gentisate 1,2-dioxygenase","Limnohabitans sp. 1"
"1489","nagL","5.2.1.4","","Maleylpyruvate isomerase","Limnohabitans sp. 1"
"1490","dinG","3.6.4.12","COG1199","putative ATP-dependent helicase DinG ","Limnohabitans sp. 1"
"1491","zapE","","COG1485","Cell division protein ZapE","Limnohabitans sp. 1"
"1492","lpd","1.8.1.4","","Dihydrolipoyl dehydrogenase","Limnohabitans sp. 1"
"1493","sucB","2.3.1.61","COG0508","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","Limnohabitans sp. 1"
"1494","sucA","1.2.4.2","COG0567","2-oxoglutarate dehydrogenase E1 component","Limnohabitans sp. 1"
"1495","bauC","1.2.1.-","COG1012","Putative 3-oxopropanoate dehydrogenase","Limnohabitans sp. 1"
"1496","tgt","2.4.2.29","","Queuine tRNA-ribosyltransferase","Limnohabitans sp. 1"
"1497","nemA","1.-.-.-","COG1902","N-ethylmaleimide reductase","Limnohabitans sp. 1"
"1498","copA","3.6.3.54","","putative copper-importing P-type ATPase A","Limnohabitans sp. 1"
"1499","betI","","","HTH-type transcriptional regulator BetI","Limnohabitans sp. 1"
"1500","calB","1.2.1.68","","Coniferyl aldehyde dehydrogenase","Limnohabitans sp. 1"
"1501","gdhA","1.4.1.4","COG0334","NADP-specific glutamate dehydrogenase","Limnohabitans sp. 1"
"1502","soxA","1.8.2.-","","SoxAX cytochrome complex subunit A","Limnohabitans sp. 1"
"1503","yedY1","","COG2041","Putative protein-methionine-sulfoxide reductase subunit YedZ1","Limnohabitans sp. 1"
"1504","sspB","","COG2969","Stringent starvation protein B ","Limnohabitans sp. 1"
"1505","sspA","","COG0625","Stringent starvation protein A","Limnohabitans sp. 1"
"1506","petC","","COG2857","Ammonia monooxygenase gamma subunit","Limnohabitans sp. 1"
"1507","petB","","COG1290","Cytochrome b","Limnohabitans sp. 1"
"1508","petA","1.10.2.2","COG0723","Ubiquinol-cytochrome c reductase iron-sulfur subunit","Limnohabitans sp. 1"
"1509","mscL","","COG1970","Large-conductance mechanosensitive channel","Limnohabitans sp. 1"
"1510","pdxA2","1.1.1.408","COG1995","D-threonate 4-phosphate dehydrogenase","Limnohabitans sp. 1"
"1511","degQ","3.4.21.107","COG0265","Periplasmic pH-dependent serine endoprotease DegQ","Limnohabitans sp. 1"
"1512","tatC","","COG0805","Sec-independent protein translocase protein TatC","Limnohabitans sp. 1"
"1513","tatB","","","Sec-independent protein translocase protein TatB","Limnohabitans sp. 1"
"1514","tatA","","COG1826","Sec-independent protein translocase protein TatA","Limnohabitans sp. 1"
"1515","hisE","3.6.1.31","COG0140","Phosphoribosyl-ATP pyrophosphatase","Limnohabitans sp. 1"
"1516","hisI","3.5.4.19","COG0139","Phosphoribosyl-AMP cyclohydrolase","Limnohabitans sp. 1"
"1517","hisF","4.1.3.-","COG0107","Imidazole glycerol phosphate synthase subunit HisF","Limnohabitans sp. 1"
"1518","yeaD","5.1.3.15","COG0676","Putative glucose-6-phosphate 1-epimerase","Limnohabitans sp. 1"
"1519","hisA","5.3.1.16","COG0106","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","Limnohabitans sp. 1"
"1520","mdtJ","","","Spermidine export protein MdtJ","Limnohabitans sp. 1"
"1521","ysnE","2.3.1.-","","putative N-acetyltransferase YsnE","Limnohabitans sp. 1"
"1522","sbmA","","COG1133","Peptide antibiotic transporter SbmA","Limnohabitans sp. 1"
"1523","atsA","3.1.6.1","COG3119","Arylsulfatase","Limnohabitans sp. 1"
"1524","mhqR","","COG1846","HTH-type transcriptional regulator MhqR","Limnohabitans sp. 1"
"1525","nucH","3.1.31.1","","Thermonuclease","Limnohabitans sp. 1"
"1526","moeB","2.7.7.80","COG0476","Molybdopterin-synthase adenylyltransferase","Limnohabitans sp. 1"
"1527","gpmA","5.4.2.11","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","Limnohabitans sp. 1"
"1528","pspE","2.8.1.1","COG0607","Thiosulfate sulfurtransferase PspE","Limnohabitans sp. 1"
"1529","grxC","","COG0695","Glutaredoxin 3","Limnohabitans sp. 1"
"1530","secB","","COG1952","Protein-export protein SecB","Limnohabitans sp. 1"
"1531","gpsA","1.1.1.94","COG0240","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","Limnohabitans sp. 1"
"1532","mrdB","2.4.1.129","COG0772","Peptidoglycan glycosyltransferase MrdB","Limnohabitans sp. 1"
"1533","tldD","3.4.-.-","COG0312","Metalloprotease TldD","Limnohabitans sp. 1"
"1534","lpdA","1.8.1.4","COG1249","Dihydrolipoyl dehydrogenase","Limnohabitans sp. 1"
"1535","asnC","","COG1522","Regulatory protein AsnC","Limnohabitans sp. 1"
"1536","hisJ","","COG0834","Histidine-binding periplasmic protein","Limnohabitans sp. 1"
"1537","recQ","3.6.4.12","COG0514","ATP-dependent DNA helicase RecQ","Limnohabitans sp. 1"
"1538","tetD","","","Transposon Tn10 TetD protein","Limnohabitans sp. 1"
"1539","rbtD","1.1.1.56","","Ribitol 2-dehydrogenase","Limnohabitans sp. 1"
"1540","ycjP","","COG0395","Inner membrane ABC transporter permease protein YcjP","Limnohabitans sp. 1"
"1541","hpd","1.13.11.27","","4-hydroxyphenylpyruvate dioxygenase","Limnohabitans sp. 1"
"1542","lptD","","COG1452","LPS-assembly protein LptD","Limnohabitans sp. 1"
"1543","surA","5.2.1.8","COG0760","Chaperone SurA","Limnohabitans sp. 1"
"1544","rsmA","2.1.1.182","COG0030","Ribosomal RNA small subunit methyltransferase A","Limnohabitans sp. 1"
"1545","yiiM","","COG2258","Protein YiiM","Limnohabitans sp. 1"
"1546","pepP","3.4.11.9","COG0006","Xaa-Pro aminopeptidase","Limnohabitans sp. 1"
"1547","recD2","3.6.4.12","","ATP-dependent RecD-like DNA helicase","Limnohabitans sp. 1"
"1548","higB2","","COG4683","Putative toxin HigB2","Limnohabitans sp. 1"
"1549","cheR","2.1.1.80","","Chemotaxis protein methyltransferase","Limnohabitans sp. 1"
"1550","osmY","","COG2823","Osmotically-inducible protein Y","Limnohabitans sp. 1"
"1551","ugpB","","COG1653","sn-glycerol-3-phosphate-binding periplasmic protein UgpB","Limnohabitans sp. 1"
"1552","mpl","6.3.2.45","COG0773","UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase","Limnohabitans sp. 1"
"1553","aroG","2.5.1.54","COG0722","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Limnohabitans sp. 1"
"1554","queF","1.7.1.13","COG0780","NADPH-dependent 7-cyano-7-deazaguanine reductase","Limnohabitans sp. 1"
"1555","truC","5.4.99.26","COG0564","tRNA pseudouridine synthase C","Limnohabitans sp. 1"
"1556","modA","","COG0725","Molybdate-binding protein ModA","Limnohabitans sp. 1"
"1557","pckG","4.1.1.32","COG1274","Phosphoenolpyruvate carboxykinase [GTP]","Limnohabitans sp. 1"
"1558","leuO","","","HTH-type transcriptional regulator LeuO","Limnohabitans sp. 1"
"1559","pyrC","3.5.2.3","COG0418","Dihydroorotase","Limnohabitans sp. 1"
"1560","pspA","3.1.3.3","COG0406","Phosphoserine phosphatase 1","Limnohabitans sp. 1"
"1561","ttcA","2.8.1.-","COG0037","tRNA-cytidine(32) 2-sulfurtransferase","Limnohabitans sp. 1"
"1562","icd2","1.1.1.42","","Isocitrate dehydrogenase [NADP] 2","Limnohabitans sp. 1"
"1563","aceA","4.1.3.1","COG2224","Isocitrate lyase","Limnohabitans sp. 1"
"1564","nhaR","","COG0583","Transcriptional activator protein NhaR","Limnohabitans sp. 1"
"1565","alx","","COG0861","Putative membrane-bound redox modulator Alx","Limnohabitans sp. 1"
"1566","efp","","COG0231","Elongation factor P","Limnohabitans sp. 1"
"1567","truB","5.4.99.25","COG0130","tRNA pseudouridine synthase B","Limnohabitans sp. 1"
"1568","rbfA","","COG0858","Ribosome-binding factor A","Limnohabitans sp. 1"
"1569","infB","","COG0532","Translation initiation factor IF-2","Limnohabitans sp. 1"
"1570","puuC","1.2.1.5","COG1012","NADP/NAD-dependent aldehyde dehydrogenase PuuC","Limnohabitans sp. 1"
"1571","yhdY","","COG0765","Inner membrane amino-acid ABC transporter permease protein YhdY","Limnohabitans sp. 1"
"1572","glnM","","COG0765","putative glutamine ABC transporter permease protein GlnM","Limnohabitans sp. 1"
"1573","yhdW","","","Putative amino-acid ABC transporter-binding protein YhdW","Limnohabitans sp. 1"
"1574","ruvB","3.6.4.12","COG2255","Holliday junction ATP-dependent DNA helicase RuvB","Limnohabitans sp. 1"
"1575","ruvA","3.6.4.12","COG0632","Holliday junction ATP-dependent DNA helicase RuvA","Limnohabitans sp. 1"
"1576","ybeZ","","COG1702","PhoH-like protein","Limnohabitans sp. 1"
"1577","ybeY","3.1.-.-","COG0319","Endoribonuclease YbeY","Limnohabitans sp. 1"
"1578","dbpA","3.6.4.13","COG0513","ATP-dependent RNA helicase DbpA","Limnohabitans sp. 1"
"1579","dtd","3.1.1.96","COG1490","D-aminoacyl-tRNA deacylase","Limnohabitans sp. 1"
"1580","fieF","","COG0053","Ferrous-iron efflux pump FieF","Limnohabitans sp. 1"
"1581","tyrS","6.1.1.1","COG0162","Tyrosine--tRNA ligase","Limnohabitans sp. 1"
"1582","anmK","2.7.1.170","COG2377","Anhydro-N-acetylmuramic acid kinase","Limnohabitans sp. 1"
"1583","erpA","","COG0316","Iron-sulfur cluster insertion protein ErpA","Limnohabitans sp. 1"
"1584","moaE","2.8.1.12","COG0314","Molybdopterin synthase catalytic subunit","Limnohabitans sp. 1"
"1585","moaD","","COG1977","Molybdopterin synthase sulfur carrier subunit","Limnohabitans sp. 1"
"1586","thrC","4.2.3.1","COG0498","Threonine synthase","Limnohabitans sp. 1"
"1587","hom","1.1.1.3","COG0460","Homoserine dehydrogenase","Limnohabitans sp. 1"
"1588","iphP","3.1.3.48","","Tyrosine-protein phosphatase","Limnohabitans sp. 1"
"1589","metH","2.1.1.13","COG0646","Methionine synthase","Limnohabitans sp. 1"
"1590","katG","1.11.1.21","","Catalase-peroxidase","Limnohabitans sp. 1"
"1591","spo0C","","COG1475","Chromosome-partitioning protein Spo0J","Limnohabitans sp. 2"
"1592","hin","","COG1961","DNA-invertase hin","Limnohabitans sp. 2"
"1593","dpnA","2.1.1.72","","Modification methylase DpnIIB","Limnohabitans sp. 2"
"1594","queE","4.3.99.3","","7-carboxy-7-deazaguanine synthase","Limnohabitans sp. 2"
"1595","araE","1.2.1.26","","Alpha-ketoglutaric semialdehyde dehydrogenase","Limnohabitans sp. 2"
"1596","baiA","1.1.1.392","","3-alpha-hydroxycholanate dehydrogenase (NADP(+))","Limnohabitans sp. 2"
"1597","kup","","","Low affinity potassium transport system protein kup","Limnohabitans sp. 2"
"1598","hemR","","COG1629","Hemin receptor","Limnohabitans sp. 2"
"1599","parB","","COG1475","putative chromosome-partitioning protein ParB","Limnohabitans sp. 2"
"1600","lytG","3.2.1.-","COG1705","Exo-glucosaminidase LytG","Limnohabitans sp. 2"
"1601","mboIIM","2.1.1.72","","Modification methylase MboII","Limnohabitans sp. 2"
"1602","cpoB","","COG1729","Cell division coordinator CpoB","Limnohabitans sp. 2"
"1603","pal","","COG2885","Peptidoglycan-associated lipoprotein","Limnohabitans sp. 2"
"1604","tolB","","COG0823","Protein TolB","Limnohabitans sp. 2"
"1605","pgl","3.1.1.31","COG2706","6-phosphogluconolactonase","Limnohabitans sp. 2"
"1606","gudD","4.2.1.40","COG4948","Glucarate dehydratase","Limnohabitans sp. 2"
"1607","copZ","","COG2608","Copper chaperone CopZ","Limnohabitans sp. 2"
"1608","ureC1","3.5.1.5","","Urease subunit alpha 1","Limnohabitans sp. 2"
"1609","ldh","1.1.1.27","COG2055","L-lactate dehydrogenase","Limnohabitans sp. 2"
"1610","prkC","2.7.11.1","COG0515","Serine/threonine-protein kinase PrkC","Limnohabitans sp. 2"
"1611","cpdA","3.1.4.53","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","Limnohabitans sp. 2"
"1612","yusO","","","putative HTH-type transcriptional regulator YusO","Limnohabitans sp. 2"
"1613","gpgS","2.4.1.266","COG0463","Glucosyl-3-phosphoglycerate synthase","Limnohabitans sp. 2"
"1614","sigV","","COG1595","RNA polymerase sigma factor SigV","Limnohabitans sp. 2"
"1615","yvdD","","COG1611","LOG family protein YvdD","Limnohabitans sp. 2"
"1616","kduD","1.1.1.127","","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","Limnohabitans sp. 2"
"1617","yhaJ","","","HTH-type transcriptional regulator YhaJ","Limnohabitans sp. 2"
"1618","algE5","5.1.3.37","","Mannuronan C5-epimerase AlgE5","Limnohabitans sp. 2"
"1619","cya","","","Bifunctional hemolysin/adenylate cyclase","Limnohabitans sp. 2"
"1620","gabD","1.2.1.79","COG1012","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","Limnohabitans sp. 2"
"1621","ltrA","","COG3344","Group II intron-encoded protein LtrA","Limnohabitans sp. 2"
"1622","rpoD","","COG0568","RNA polymerase sigma factor RpoD","Limnohabitans sp. 2"
"1623","adhT","1.1.1.1","","Alcohol dehydrogenase","Limnohabitans sp. 2"
"1624","genK","","COG0477","Gentisate transporter","Limnohabitans sp. 2"
"1625","holC","2.7.7.7","COG2927","DNA polymerase III subunit chi","Limnohabitans sp. 2"
"1626","slyA","","","Transcriptional regulator SlyA","Limnohabitans sp. 2"
"1627","nuc","3.1.31.1","COG1525","Thermonuclease","Limnohabitans sp. 2"
"1628","ydiB","1.1.1.282","COG0169","Quinate/shikimate dehydrogenase","Limnohabitans sp. 2"
"1629","iolI","5.3.99.11","COG1082","Inosose isomerase","Limnohabitans sp. 2"
"1630","rhaS","","","HTH-type transcriptional activator RhaS","Limnohabitans sp. 2"
"1631","outD","","COG1450","Type II secretion system protein D","Limnohabitans sp. 2"
"1632","cidA","","","Holin-like protein CidA","Limnohabitans sp. 2"
"1633","hmrR","","","HTH-type transcriptional regulator HmrR","Limnohabitans sp. 2"
"1634","rayT","","COG1943","REP-associated tyrosine transposase","Limnohabitans sp. 2"
"1635","mexR","","COG1846","Multidrug resistance operon repressor","Limnohabitans sp. 2"
"1636","fosB","2.5.1.-","","Metallothiol transferase FosB","Limnohabitans sp. 2"
"1637","bphF","4.1.3.39","","4-hydroxy-2-oxovalerate aldolase","Limnohabitans sp. 2"
"1638","yflN","3.-.-.-","COG0491","putative metallo-hydrolase YflN","Limnohabitans sp. 2"
"1639","gapA","1.2.1.12","COG0057","Glyceraldehyde-3-phosphate dehydrogenase A","Limnohabitans sp. 2"
"1640","ynjB","","COG4134","Protein YnjB","Limnohabitans sp. 2"
"1641","ynjC","","COG4135","Inner membrane ABC transporter permease protein YnjC","Limnohabitans sp. 2"
"1642","ynjF","","COG0558","Inner membrane protein YnjF","Limnohabitans sp. 2"
"1643","ureD","","","Urease accessory protein UreD","Limnohabitans sp. 2"
"1644","phnW","2.6.1.37","COG0075","2-aminoethylphosphonate--pyruvate transaminase","Limnohabitans sp. 2"
"1645","leuB","1.1.1.85","","3-isopropylmalate dehydrogenase","Limnohabitans sp. 2"
"1646","chaA","","COG0387","Sodium-potassium/proton antiporter ChaA","Limnohabitans sp. 2"
"1647","phnC","3.6.3.27","COG3638","Phosphate-import ATP-binding protein PhnC","Limnohabitans sp. 2"
"1648","ydaD","1.-.-.-","","General stress protein 39","Limnohabitans sp. 2"
"1649","dctQ","","COG3090","C4-dicarboxylate TRAP transporter small permease protein DctQ","Limnohabitans sp. 2"
"1650","hdl IVa","3.8.1.2","","(S)-2-haloacid dehalogenase 4A","Limnohabitans sp. 2"
"1651","merA","1.16.1.1","","Mercuric reductase","Limnohabitans sp. 2"
"1652","nhaA","","COG3004","Na(+)/H(+) antiporter NhaA","Limnohabitans sp. 2"
"1653","lolC","","COG4591","Lipoprotein-releasing system transmembrane protein LolC","Limnohabitans sp. 2"
